cha_id,cha_lib,cha_long,mf1_hd,mf1_debit,mf1_taux,mf1_vit,tc1_temps,couleur_tp,etat_trafic,geo_shape,geo_point_2d
28,Fosse I1,275,2021-10-13T17:54:00+00:00,900,18.7,13,76,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.568051874557157, 47.208412252517256], [-1.570412309135164, 47.20755934798327], [-1.571189548021024, 47.20717182628367]]}","47.2078263561, -1.56963540769"
29,Fosse I4,384,2021-10-13T17:54:00+00:00,600,8.3,18,75,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.560716336241535, 47.20987720296946], [-1.561519581172258, 47.2100739512638], [-1.561870748036819, 47.21011366500941], [-1.56221052731425, 47.210121774470764], [-1.562580097874919, 47.21006077014448], [-1.565458487104683, 47.20918631636322]]}","47.2097868021, -1.56310120002"
5416,50 Otages I4,302,2021-10-13T17:54:00+00:00,60,0.4,18,59,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.554000781535536, 47.219998864972915], [-1.554117664102219, 47.21996086705376], [-1.554589227852003, 47.219760239555434], [-1.555120250418941, 47.219419330096436], [-1.555689198230221, 47.219058563178734], [-1.555919625255723, 47.218874328713966], [-1.556068020402054, 47.218686673299295], [-1.556164250697287, 47.218448153724694], [-1.556188150684465, 47.21827708586241], [-1.556150525106893, 47.21792648497709]]}","47.219151707, -1.55534132796"
416,50 Otages P1,364,2021-10-13T17:54:00+00:00,300,2.5,21,62,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.554128655516711, 47.220186408080075], [-1.55451916813035, 47.220046599671825], [-1.554743950437256, 47.21995028346483], [-1.555260957261265, 47.21964768417911], [-1.555617080213833, 47.219414538153686], [-1.555911457939027, 47.21921808851913], [-1.556107332232558, 47.21904625580353], [-1.556275322477173, 47.21884215431737], [-1.556399370655585, 47.218603710875186], [-1.556455252213417, 47.21834179869605], [-1.55640139101238, 47.217597244608214]]}","47.2191452677, -1.55564331702"
5415,Mercoeur,253,2021-10-13T17:54:00+00:00,0,0.0,21,43,2,Indéterminé,"{""type"": ""LineString"", ""coordinates"": [[-1.561459169253596, 47.21801636493158], [-1.561062919428484, 47.21785744246682], [-1.558839081870301, 47.21747447792408], [-1.558724373610525, 47.21768782774298], [-1.558588624761489, 47.21784100742869]]}","47.217702787, -1.55995455033"
429,De Lattre,287,2021-10-13T17:54:00+00:00,480,7.5,17,60,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.561384758798329, 47.21283777998082], [-1.561390191054188, 47.21270448276109], [-1.560752753539592, 47.21224828034476], [-1.560492724465321, 47.2120878454097], [-1.560200652743097, 47.21196564147372], [-1.558994687801586, 47.211749478591805], [-1.558369783251375, 47.211485802871664]]}","47.2120297018, -1.559982084"
21,Michel P,210,2021-10-13T17:54:00+00:00,420,5.0,19,39,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.558015015332558, 47.20946188356169], [-1.560116692265684, 47.20971071191149], [-1.560716336241535, 47.20987720296946]]}","47.2096334855, -1.55937277272"
531,Pont Tabarly,245,2021-10-13T17:54:00+00:00,1200,15.0,21,43,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.528785643396813, 47.21337043539072], [-1.52831275937137, 47.211184294791934]]}","47.2122773651, -1.52854920138"
436,Brissoneau,162,2021-10-13T17:54:00+00:00,600,14.75,16,36,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.569589450282124, 47.20956229268169], [-1.569441819126089, 47.208908949275674], [-1.568403378565551, 47.20853964568462]]}","47.2089175809, -1.56914677003"
318,Veil I2,120,2021-10-13T17:54:00+00:00,420,6.6,8,54,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.555507567674373, 47.21160728153544], [-1.554734864355916, 47.210664440143965]]}","47.2111358608, -1.55512121602"
141,Babin Chevaye P1,185,2021-10-13T17:54:00+00:00,300,4.5,16,42,3,Fluide,"{""type"": ""LineString"", ""coordinates"": [[-1.549754357131783, 47.205887755183646], [-1.54733388611242, 47.20612518821501]]}","47.2060064717, -1.54854412162"
